name,lat,lng
San Francisco,37.803036,-122.427451
Hillsborough,37.562976,-122.361452
Needles,34.8481,-114.6141
San Diego,32.7157,-117.1611
Palm Desert,33.7222,-116.3745
Death Valley,36.5323,-116.9325
Disneyland,33.8121,-117.919
Manhattan Beach,33.8847,-118.4109
Santa Barbara,34.4208,-119.6982
Cambria,35.5641,-121.0807
Yosemite National Park,37.8651,-119.5383
Monterey,36.6002,-121.8947
Santa Cruz,36.9741,-122.0308
San Jose,37.3382,-121.8863
Pescadero,37.2552,-122.383
Half Moon Bay,37.4636,-122.4286
Pacifica,37.6138,-122.4869
Berkeley,37.8716,-122.2727
Palo Alto,37.4419,-122.143
Concord,37.978,-122.0311
Sacramento,38.5816,-121.4944
Novato,38.1074,-122.5697
Sonoma,38.2919,-122.458
Napa,38.2975,-122.2869
Yountville,38.4016,-122.3608
St. Helena,38.5052,-122.4704
Drake's Bay,38.0138,-122.955
Stinson Beach,37.9005,-122.6444
Redding,40.5865,-122.3917
Mount Shasta,41.4099,-122.1949
Lake Tahoe,39.0968,-120.0324
Sugar Bowl,39.2982344,-120.3509872
Kirkwood,38.6908656,-120.0702721
Heavenly,38.9568563,-119.9448475
Northstar,39.2745678,-120.1232821
Big Sur,36.3615,-121.8563
Sierra National Forest,37.3427,-119.2244
New Orleans,29.938749,-90.118958
Tickfaw State Park,30.383412,-90.650631
Maui,20.7984,-156.3319
Big Island,19.5429,-155.6659
Atlanta,33.749,-84.388
Nashville,36.1627,-86.7816
Columbia,34.0007,-81.0348
Charleston,32.7765,-79.9311
Hilton Head Island,32.2163,-80.7526
Savannah,32.0809,-81.0912
Kiln,30.4091,-89.4351
Gulf Shores,30.246,-87.7008
Pensacola,30.4067396,-87.2161747
Tallahassee,30.4275846,-84.2709257
Destin,30.3935,-86.4958
Panama City Beach,30.2099316,-85.8688339
Key West,24.5551,-81.78
Miami,25.8145363,-80.1954426
Asheville,35.5951,-82.5515
"Washington, D.C.",38.9072,-77.0369
Philadelphia,39.9526,-75.1652
New York City,40.7128,-74.006
Garden City,40.7268,-73.6343
Port Jefferson,40.9465,-73.0693
Babylon,40.6432,-73.3473
Moorestown,39.9689,-74.9489
Strathmere,39.1952,-74.659
Jersey City,40.7178,-74.0431
Princeton,40.3573,-74.6672
Boston,42.3601,-71.0589
Edgartown,41.389,-70.5134
Milwaukee,43.0389,-87.9065
Chicago,41.8781,-87.6298
Kalamazoo,42.2917,-85.5872
Ann Arbor,42.2808,-83.743
Camp Michigania,45.286,-85.0389
Cedar Point,41.4822,-82.6835
Mackinac Island,45.8492,-84.6189
Portland,45.5122,-122.6587
Bend,44.0582,-121.3153
Livingston,45.6614,-110.56
Jackson Hole,43.4799,-110.7624
Deer Valley,40.6374,-111.4783
Arches National Park,38.7331,-109.5925
Zion National Park,37.2982,-113.0263
Las Vegas,36.1699,-115.1398
Four Corners,36.9991,-109.0452
Denver,39.7392,-104.9903
Boulder,40.015,-105.2705
Breckenridge,39.4817,-106.0384
Beaver Creek,39.6042,-106.5165
Vail,39.6130444,-106.3677136
Keystone,39.5783877,-105.9413878
Arapahoe Basin,39.6341278,-105.8731853
Telluride,37.9375,-107.8123
Mesa Verde,37.226382,-108.4743508
Park City,40.640372,-111.5235577
Phoenix,33.4513119,-112.0707415
Santa Fe,35.687,-105.9378
Austin,30.2672,-97.7431
Petrified Forest National Park,34.91,-109.8068
Boise,43.6178216,-116.2017072
Bogus Basin,43.764056,-116.1113716
Burlington,44.5071802,-73.2914628
Stowe,44.4650589,-72.6872007
White Mountains National Forest,44.1471841,-71.4613182
Acadia National Park,44.3193593,-68.3668492
Cabo San Lucas,22.8905,-109.9167
San Jose del Cabo,23.0637,-109.7024
Playa del Carmen,20.6296,-87.0739
Tulum Ruins,20.2150862,-87.4316555
Coba,20.4906294,-87.7267574
Mexico City,19.4361782,-99.1311225
Mérida,20.9727191,-89.6231908
Progreso,21.3064673,-89.7045794
Valladolid,20.6900828,-88.2022517
Holbox,21.5230348,-87.3805604
Chichén Itzá,20.6777187,-88.5673126
St. Thomas,18.3381,-64.8941
Atlantis Resort,25.0847,-77.3235
Panama City,8.9824,-79.5199
Belize City,17.5046,-88.1962
Blue Hole,17.316,-87.5351
San Jose,37.3382,-121.8863
Utila,16.097053,-86.897018
London,51.5074,-0.1278
Brighton,50.8225,-0.1372
Oxford,51.751727,-1.253653
Bath,51.3792838,-2.3597957
Manchester,53.4811402,-2.2410562
Lake District,54.4431175,-2.9966498
Edinburgh,55.9533,-3.1883
St Andrews,56.3398,-2.7967
Islay,55.7363,-6.1771
Glasgow,55.8642,-4.2518
Stirling,56.1165,-3.9369
Karmøy,59.3913026,5.2654673
Bergen,60.3943055,5.3259192
Hardangervidda,60.0405565,7.0686837
Haslum,59.9229467,10.5686211
Oslo,59.9123104,10.7458116
Gothenburg,57.7089,11.9746
Copenhagen,55.6761,12.5683
Bjerringbro,56.3775371,9.6392774
Fyrkatvej,56.6232274,9.7682779
Hjerl Hede,56.4841356,8.8697678
Moesgaard Museum,56.0887188,10.221313
Aarhus,56.1781797,10.1119353
Jelling,55.7817973,9.3481958
LegoLand,55.7309668,9.0105699
Holbæk,55.7160572,11.5768499
Frederikssun,55.8366357,12.0201495
Skibby,55.762771,11.8681557
Roskilde,55.6702573,11.9412246
Amsterdam,52.368,4.9036
Utrecht,52.0907,5.1214
Scheveningen Beach,52.1145,4.279
Brussels,50.8503,4.3517
Oldenburg,53.1435,8.2146
Bremen,53.0793,8.8017
Munich,48.1351,11.582
Berlin,52.52,13.405
Vienna,48.2040899,16.3471946
Zurich,47.3769,8.5417
Bern,46.948,7.4474
Bucharest,44.4268,26.1025
Chişinău,47.025691,28.8341654
Old Orhei,47.3126853,28.9712762
Tiraspol,46.8388433,29.6117722
Saharna,47.6959459,28.961779
Sarajevo,43.8519774,18.3866868
Dubrovnik,42.6409191,18.1086337
Kotor,42.4223875,18.7700934
Tirana,41.3333813,19.8184871
Berat,40.7099475,19.9461447
Korçë,40.6154823,20.7791856
Gjirokastër,40.0819243,20.1421084
Përmet,40.2342528,20.3566496
Himarë,40.0925399,19.7561099
Gjipe,40.1272873,19.6708073
Ohrid,41.1140083,20.7947315
Skopje,41.99587,21.4311834
Paris,48.8566,2.3522
Normandy,48.8799,0.1713
Biarritz,43.4832,-1.5586
Montauban,44.0221,1.353
Aix-en-Provence,43.5297,5.4474
Avignon,43.9493,4.8055
Marseille,43.2965,5.3698
Mont Saint-Michel,48.6361,-1.5115
Loire Valley,47.5680563,0.1345284
Rome,41.9028,12.4964
Siena,43.3188,11.3308
Florence,43.7696,11.2558
Milan,45.4642,9.19
Venice,45.4408,12.3155
Pisa,43.7228,10.4017
Cagliari,39.2163176,9.1142342
Alghero,40.5580531,8.3136803
San Pietro a Mare,40.9295128,8.8044959
The Vatican,41.902246,12.456016
Barcelona,41.3851,2.1734
Madrid,40.4168,-3.7038
Granada,37.1734995,-3.5995337
Córdoba,37.8804343,-4.7784921
Sevilla,37.3926323,-5.9985444
Madrid,40.4147882,-3.7067452
Rondaa,36.7461498,-5.1611482
